#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
80,"3/14/2026 2:42:15.257 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,FunctionPropertyExtCommand (S=15),,"ObjectType=17, Instance=1, PropertyId=5, Command=04 00 00 00 00 00 00 00 00 00",LL_ACK
81,"3/14/2026 2:42:15.280 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=15),,"",LL_ACK
82,"3/14/2026 2:42:15.356 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,FunctionPropertyExtState_Response (S=15),,"ObjectType=17, Instance=1, PropertyId=5, ReturnCode=0",LL_ACK
83,"3/14/2026 2:42:15.385 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=15),,"",LL_ACK
84,"3/14/2026 2:42:15.475 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=0),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=01 00 00 00 00 00 00 00 00 00",LL_ACK
85,"3/14/2026 2:42:15.505 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=0),,"",LL_ACK
86,"3/14/2026 2:42:15.570 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=0),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
87,"3/14/2026 2:42:15.598 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=0),,"",LL_ACK
88,"3/14/2026 2:42:15.690 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Write (S=1),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=03 0B 00 00 00 14 00 00 00 00",LL_ACK
89,"3/14/2026 2:42:15.710 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,T_ACK (S=1),,"",LL_ACK
90,"3/14/2026 2:42:15.784 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response (S=1),,"ObjectIndex=4, PropertyId=5, Count=1, StartIndex=1, Data=$02",LL_ACK
91,"3/14/2026 2:42:15.818 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,T_ACK (S=1),,"",LL_ACK
