STT,Nội dung,,Thao tác,Chi tiết,Led hiển thị,Ghi chú,Icon,,,,,,,,,,,,
,,Tự động quay về màn hình chính,,"Hiển thị tùy chọn cài đặt thời gian(đơn vị: giây)
Default: 30s",,,,,,,,,,,,,,,
9,Cài đặt theo chủng loại thiết bị,Công tắc,,"- Caì đặt mode công tắc: nhấn nhả/nhấn giữ(default: nhấn giữ)
- Cài đặt icon
- Tên thiết bị: (tên default: Switch 0x trong đó: x-endpoint)
Lưu ý: Chức năng đổi type từng endpoint trong thiết bị chỉ hiển thị và chọn ở endpoint 1.",,"Cài đặt icon + tên thiết bị/tên cảnh
Danh sách Icon và Icon default cho từng loại: Danh sách icon 
Tên thiết bị/Tên cảnh:
 + Danh sách ký tự hỗ trợ: Vietnamese character conversion table 
 + Tối đa 20 ký tự(hỗ trợ Tiếng Việt)",,,,,,,,,,,,,
,,Cảnh,,"- Cài đặt icon 
- Tên cảnh(tên default: ""Scene x"" trong đó: x là thứ tự của cảnh 01 - 16)
Note: Tối đa 16 cảnh",,,,,,,,,,,,,,,
,,CCT,,"- Cài đặt icon
- Tên thiết bị(tên default: CCT 0x trong đó: x-endpoint)",,,,,,,,,,,,,,,
,,Dim,,"- Cài đặt icon
- Tên thiết bị(tên default: Dim 0x trong đó: x-endpoint)",,,,,,,,,,,,,,,
,,Rèm,,"- Cài đặt hành trình rèm(default: 20s)
- Cài đặt icon
- Tên thiết bị(tên default: Curtain 0x trong đó: x-endpoint)",,,,,,,,,,,,,,,
,,Fan,,"- Cài đặt icon
- Tên thiết bị(tên default: Fan 0x trong đó: x-endpoint)",,,,,,,,,,,,,,,
,,AC,,"- Tên thiết bị(tên default: Air conditioning 0x trong đó: x-endpoint)
- Cài đặt dải thông số điều hòa:
  + Bước thay đổi nhiệt độ: 0.5 hoặc 1
  + Mode: Auto/Fan/Heat/Cool/Dry
  + Fan: Auto/Low/Mid/High
  + Swing: P0/P1/P2/P3/P4/Stop/Swing
  + Temp Min: 16 - 31
  + Temp Max: 17 - 32",,,,,,,,,,,,,,,
,,Sưởi,,- Tên thiết bị(tên default: Thermostat 0x trong đó: x-endpoint),,,,,,,,,,,,,,,
10,"Cập nhật thông số nhiệt độ, độ ẩm",,Ngưỡng cập nhật,"- Nhiệt độ thay đổi >= 1℃
- Độ ẩm thay đổi >= 5%",,,"- Sai số cảm biến:
Độ ẩm: ±3% (maximum)
Nhiệt độ: ±0.4°C
(maximum)",,,,,,,,,,,,
